group,attrs,packs,approx_groups_count,ml,number_entities,group_number_masked_product,material_type,optional_attrs,none_attrs,inferred_concentration,inferred_concentration_uom,inferred_packsize,inferred_packsize_uom,product,Item_Description,Item_Code,Secondary_Sales_UOM,Parent_Code,rowcd,percentage,mg,pack_size,misc,fraction,k,mg/ml,gm,liter,miu,pack_multiplier,mcg
pan,hs d,tablet,1,,"{'#': {'string': '15 s', 'type': 'measurement', 'number_string': (None, '15.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> d caps alu alu <v>#<v> hospital supply ,solid,,alu alu,,,15.0,pack_size,PAN D CAPS(ALU-ALU)(15'S)HOSPITAL SUPPLY,PAN D CAPS(ALU-ALU)(15'S)HOSPITAL SUPPLY,FC9107,,FC9107,2021-06-04 19:25:39,,,15.0,,,,,,,,,
pan,it,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> it capsule <v>#<v> ,solid,,,,,10.0,pack_size,PAN IT CAPSULE (10'S),PAN IT CAPSULE (10'S),FC9111,,FC9111,2021-06-04 19:25:39,,,10.0,,,,,,,,,
pan,l,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> l capsule <v>#<v> ,solid,,,,,10.0,pack_size,PAN-L CAPSULE (10'S),PAN-L CAPSULE (10'S),FC9122,,FC9122,2021-06-04 19:25:39,,,10.0,,,,,,,,,
gemcal,,tablet,1,,"{'#': {'string': '15 s', 'type': 'measurement', 'number_string': (None, '15.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> capsule <v>#<v> ,solid,,,,,15.0,pack_size,GEMCAL CAPSULE (15'S),GEMCAL CAPSULE (15'S),FC9702,,FC9702,2021-06-04 19:25:39,,,15.0,,,,,,,,,
gemcal,hs,tablet,1,,"{'#': {'string': '15 s', 'type': 'measurement', 'number_string': (None, '15.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> capsule <v>#<v> hospital supply ,solid,,,,,15.0,pack_size,GEMCAL CAPSULE (15'S) (HOSPITAL SUPPLY),GEMCAL CAPSULE (15'S) (HOSPITAL SUPPLY),FC9703,,FC9703,2021-06-04 19:25:39,,,15.0,,,,,,,,,
gemcal,plus,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> plus soft gelatin capsule <v>#<v> ,solid,softgel,,,,10.0,pack_size,GEMCAL PLUS SOFT GELATIN CAPSULE (10S),GEMCAL PLUS SOFT GELATIN CAPSULE (10S),FC9721,,FC9721,2021-06-04 19:25:39,,,10.0,,,,,,,,,
gemcal,,tablet,1,,"{'#': {'string': '15 s', 'type': 'measurement', 'number_string': (None, '15.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> ds sg capsule <v>#<v> ,solid,softgel ds,,,,15.0,pack_size,GEMCAL DS SG CAPSULE (15'S),GEMCAL DS SG CAPSULE (15'S),FC9731,,FT9781,2021-06-04 19:25:39,,,15.0,,,,,,,,,
rapeed,d,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> d capsule <v>#<v> ,solid,,,,,10.0,pack_size,RAPEED - D CAPSULE (10'S),RAPEED - D CAPSULE (10'S),FCBQ02,,FCBQ02,2021-06-04 19:25:39,,,10.0,,,,,,,,,
rapeed,plus l,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> l plus capsule <v>#<v> ,solid,,,,,10.0,pack_size,RAPEED L PLUS CAPSULE (10'S),RAPEED L PLUS CAPSULE (10'S),FCBQ41,,FCBQ41,2021-06-04 19:25:39,,,10.0,,,,,,,,,
nuloc,d,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> d capsule <v>#<v> ,solid,,,,,10.0,pack_size,NULOC - D CAPSULE (10'S),NULOC - D CAPSULE (10'S),FCCC02,,FCCC02,2021-06-04 19:25:39,,,10.0,,,,,,,,,
homocheck,,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> capsule <v>#<v> ,solid,,,,,10.0,pack_size,HOMOCHEK CAPSULE (10S),HOMOCHEK CAPSULE (10S),FCCX02,,FCCX02,2021-06-04 19:25:39,,,10.0,,,,,,,,,
ultigest,,tablet,1,,"{'#': {'string': '200mg', 'type': 'measurement', 'number_string': (None, '200.0'), 'amount_suffix': (None, 'mg'), 'amount_separator': None}, '##': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> <v>#<v> capsule <v>##<v> ,solid,,,200.0,mg,10.0,pack_size,ULTIGEST 200MG CAPSULE (10'S),ULTIGEST 200MG CAPSULE (10'S),FCCY13,,FCCY13,2021-06-04 19:25:39,,200.0,10.0,,,,,,,,,
thaloda,,tablet,1,,"{'#': {'string': '100mg', 'type': 'measurement', 'number_string': (None, '100.0'), 'amount_suffix': (None, 'mg'), 'amount_separator': None}, '##': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> <v>#<v> capsule <v>##<v> ,solid,,,100.0,mg,10.0,pack_size,THALODA 100mg CAPSULE (10S),THALODA 100mg CAPSULE (10S),FCDV01,,FCDV01,2021-06-04 19:25:39,,100.0,10.0,,,,,,,,,
thaloda,,tablet,1,,"{'#': {'string': '50mg', 'type': 'measurement', 'number_string': (None, '50.0'), 'amount_suffix': (None, 'mg'), 'amount_separator': None}, '##': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> <v>#<v> capsule <v>##<v> ,solid,,,50.0,mg,10.0,pack_size,THALODA 50mg CAPSULE (10S),THALODA 50mg CAPSULE (10S),FCDV11,,FCDV11,2021-06-04 19:25:39,,50.0,10.0,,,,,,,,,
trinerve,,"gel,tablet",1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> soft gel capsule <v>#<v> ,solid,softgel,,,,10.0,pack_size,TRINERVE SOFT GEL CAPSULE  (10S),TRINERVE SOFT GEL CAPSULE  (10S),FCFA02,,FCFA02,2021-06-04 19:25:39,,,10.0,,,,,,,,,
neurokem,m,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> m capsule <v>#<v> ,solid,,,,,10.0,pack_size,NEUROKEM-M CAPSULE (10'S),NEUROKEM-M CAPSULE (10'S),FCMY02,,FCMY02,2021-06-04 19:25:39,,,10.0,,,,,,,,,
neurokem,,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None, 'context': {'before': ['<group>', '<v>##<v>', '<pack>'], 'after': []}}, '##': {'string': '75', 'type': 'int', 'number_string': ('75.0',), 'context': {'before': ['<group>'], 'after': ['<pack>', '<v>#<v>']}}}", <group> <v>##<v> capsule <v>#<v> ,solid,,,75.0,,10.0,pack_size,NEUROKEM 75 CAPSULE (10'S),NEUROKEM 75 CAPSULE (10'S),FCMY12,,FCMY12,2021-06-04 19:25:39,,,10.0,75.0,,,,,,,,
neurokem,,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None, 'context': {'before': ['<group>', '<v>##<v>', '<pack>'], 'after': []}}, '##': {'string': '150', 'type': 'int', 'number_string': ('150.0',), 'context': {'before': ['<group>'], 'after': ['<pack>', '<v>#<v>']}}}", <group> <v>##<v> capsule <v>#<v> ,solid,,,150.0,,10.0,pack_size,NEUROKEM 150 CAPSULE (10'S),NEUROKEM 150 CAPSULE (10'S),FCMY22,,FCMY22,2021-06-04 19:25:39,,,10.0,150.0,,,,,,,,
neurokem,plus,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> plus capsule <v>#<v> ,solid,,,,,10.0,pack_size,NEUROKEM PLUS CAPSULE (10'S),NEUROKEM PLUS CAPSULE (10'S),FCMY41,,FCMY41,2021-06-04 19:25:39,,,10.0,,,,,,,,,
neurokem,,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None, 'context': {'before': ['<group>', '<v>##<v>', '<pack>'], 'after': []}}, '##': {'string': '50', 'type': 'int', 'number_string': ('50.0',), 'context': {'before': ['<group>'], 'after': ['<pack>', '<v>#<v>']}}}", <group> <v>##<v> capsule <v>#<v> ,solid,,,50.0,,10.0,pack_size,NEUROKEM 50 CAPSULE 10'S,NEUROKEM 50 CAPSULE 10'S,FCMY52,,FCMY52,2021-06-04 19:25:39,,,10.0,50.0,,,,,,,,
jupiros,a,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> a capsule <v>#<v> ,solid,,,,,10.0,pack_size,JUPIROS-A  CAPSULE (10'S),JUPIROS-A  CAPSULE (10'S),FCNG02,,FCNG02,2021-06-04 19:25:39,,,10.0,,,,,,,,,
jupiros,a,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None, 'context': {'before': ['<group>', '<attr>', '<v>##<v>', '<pack>'], 'after': []}}, '##': {'string': '150', 'type': 'int', 'number_string': ('150.0',), 'context': {'before': ['<group>', '<attr>'], 'after': ['<pack>', '<v>#<v>']}}}", <group> a <v>##<v> capsule <v>#<v> ,solid,,,150.0,,10.0,pack_size,JUPIROS-A 150 CAPSULE (10'S),JUPIROS-A 150 CAPSULE (10'S),FCNG12,,FCNG12,2021-06-04 19:25:39,,,10.0,150.0,,,,,,,,
jupiros,cv,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None, 'context': {'before': ['<group>', '<attr>', '<v>##<v>', '<pack>'], 'after': []}}, '##': {'string': '10', 'type': 'int', 'number_string': ('10.0',), 'context': {'before': ['<group>', '<attr>'], 'after': ['<pack>', '<v>#<v>']}}}", <group> cv <v>##<v> capsule <v>#<v> ,solid,,,10.0,,10.0,pack_size,JUPIROS CV 10 CAPSULE (10'S),JUPIROS CV 10 CAPSULE (10'S),FCNG22,,FCNG22,2021-06-04 19:25:39,,,10.0,10.0,,,,,,,,
jupiros,a,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None, 'context': {'before': ['<group>', '<attr>', '<v>##<v>', '<pack>'], 'after': []}}, '##': {'string': '20/150', 'type': 'fraction', 'number_string': ('20.0', '150.0'), 'context': {'before': ['<group>', '<attr>'], 'after': ['<pack>', '<v>#<v>']}}}", <group> a <v>##<v> capsule <v>#<v> ,solid,,,20.0 150.0,fraction,10.0,pack_size,JUPIROS A 20/150 CAPSULE (10'S),JUPIROS A 20/150 CAPSULE (10'S),FCNG51,,FCNG51,2021-06-04 19:25:39,,,10.0,,20.0/150.0,,,,,,,
nervmax,,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> capsule <v>#<v> ,solid,,,,,10.0,pack_size,NERVMAX CAPSULE (10'S),NERVMAX CAPSULE (10'S),FCQW01,,FCQW01,2021-06-04 19:25:39,,,10.0,,,,,,,,,
nervmax,active,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> active capsule <v>#<v> ,solid,,,,,10.0,pack_size,NERVMAX ACTIVE CAPSULE (10’S),NERVMAX ACTIVE CAPSULE (10’S),FCQW11,,FCQW11,2021-06-04 19:25:39,,,10.0,,,,,,,,,
uprise,d3,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}",  <group> <attr> capsule <v>#<v> ,solid,,,,,10.0,pack_size,UPRISE D3 CAPSULE (10'S),UPRISE D3 CAPSULE (10'S),FCQY01,,DC00000021,2021-06-04 19:25:39,,,10.0,,,,,,,,,
uprise,d3,tablet,1,,"{'#': {'string': '2k', 'type': 'measurement', 'number_string': (None, '2.0'), 'amount_suffix': (None, 'k'), 'amount_separator': None}, '##': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}",  <group> <attr> capsule <v>#<v>  <v>##<v> ,solid,,,2.0,k,10.0,pack_size,UPRISE D3 CAPSULE 2K (10'S),UPRISE D3 CAPSULE 2K (10'S),FCQY02,,DC00000020,2021-06-04 19:25:39,,,10.0,,,2.0,,,,,,
uprise,d3,tablet,1,,"{'#': {'string': '60k', 'type': 'measurement', 'number_string': (None, '60.0'), 'amount_suffix': (None, 'k'), 'amount_separator': None}, '##': {'string': '8 s', 'type': 'measurement', 'number_string': (None, '8.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}",  <group> <attr> <v>#<v> capsule <v>##<v> ,solid,,,60.0,k,8.0,pack_size,UPRISE D3 60K CAPSULE (8'S),UPRISE D3 60K CAPSULE (8'S),FCQY12,,FCQY12,2021-06-04 19:25:39,,,8.0,,,60.0,,,,,,
uprise,d3 hs,tablet,1,,"{'#': {'string': '60k', 'type': 'measurement', 'number_string': (None, '60.0'), 'amount_suffix': (None, 'k'), 'amount_separator': None}, '##': {'string': '8 s', 'type': 'measurement', 'number_string': (None, '8.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}",  <group> <attr> <v>#<v> cap <v>##<v> hospital supply  ,solid,,,60.0,k,8.0,pack_size,UPRISE D3 60K CAP (8'S)(HOSPITAL SUPPLY),UPRISE D3 60K CAP (8'S)(HOSPITAL SUPPLY),FCQY13,,FCQY13,2021-06-04 19:25:39,,,8.0,,,60.0,,,,,,
rosukem,a,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> a capsule <v>#<v> ,solid,,,,,10.0,pack_size,ROSUKEM- A  CAPSULE (10'S),ROSUKEM- A  CAPSULE (10'S),FCSP02,,FCSP02,2021-06-04 19:25:39,,,10.0,,,,,,,,,
rosukem,a,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None, 'context': {'before': ['<group>', '<attr>', '<v>##<v>', '<pack>'], 'after': []}}, '##': {'string': '150', 'type': 'int', 'number_string': ('150.0',), 'context': {'before': ['<group>', '<attr>'], 'after': ['<pack>', '<v>#<v>']}}}", <group> a <v>##<v> capsule <v>#<v> ,solid,,,150.0,,10.0,pack_size,ROSUKEM- A 150 CAPSULE (10'S),ROSUKEM- A 150 CAPSULE (10'S),FCSP12,,FCSP12,2021-06-04 19:25:39,,,10.0,150.0,,,,,,,,
rosukem,gold,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None, 'context': {'before': ['<group>', '<attr>', '<v>##<v>', '<pack>'], 'after': []}}, '##': {'string': '10', 'type': 'int', 'number_string': ('10.0',), 'context': {'before': ['<group>', '<attr>'], 'after': ['<pack>', '<v>#<v>']}}}", <group> gold <v>##<v> capsule <v>#<v> ,solid,,,10.0,,10.0,pack_size,ROSUKEM GOLD 10 CAPSULE (10'S),ROSUKEM GOLD 10 CAPSULE (10'S),FCSP32,,FCSP33,2021-06-04 19:25:39,,,10.0,10.0,,,,,,,,
itratuf,,tablet,1,,"{'#': {'string': '100mg', 'type': 'measurement', 'number_string': (None, '100.0'), 'amount_suffix': (None, 'mg'), 'amount_separator': None}, '##': {'string': '15 s', 'type': 'measurement', 'number_string': (None, '15.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> <v>#<v> capsule <v>##<v> ,solid,,,100.0,mg,15.0,pack_size,ITRATUF 100MG CAPSULE (15'S),ITRATUF 100MG CAPSULE (15'S),FCUV02,,FCUV02,2021-06-04 19:25:39,,100.0,15.0,,,,,,,,,
itratuf,,tablet,1,,"{'#': {'string': '15 s', 'type': 'measurement', 'number_string': (None, '15.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None, 'context': {'before': ['<group>', '<v>##<v>', '<pack>'], 'after': []}}, '##': {'string': '200', 'type': 'int', 'number_string': ('200.0',), 'context': {'before': ['<group>'], 'after': ['<pack>', '<v>#<v>']}}}", <group> <v>##<v> capsule <v>#<v> ,solid,,,200.0,,15.0,pack_size,ITRATUF 200 CAPSULE (15S),ITRATUF 200 CAPSULE (15S),FCUV13,,FCUV13,2021-06-04 19:25:39,,,15.0,200.0,,,,,,,,
itratuf,cp,tablet,1,,"{'#': {'string': '30 s', 'type': 'measurement', 'number_string': (None, '30.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> cp capsule <v>#<v> ,solid,,,,,30.0,pack_size,ITRATUF CP CAPSULE (30'S),ITRATUF CP CAPSULE (30'S),FCUV31,,FCUV31,2021-06-04 19:25:39,,,30.0,,,,,,,,,
almito,plus,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> plus capsule <v>#<v> ,solid,,,,,10.0,pack_size,ALMITO PLUS CAPSULE (10'S),ALMITO PLUS CAPSULE (10'S),FCUW01,,FCUW01,2021-06-04 19:25:39,,,10.0,,,,,,,,,
fungikem,,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None, 'context': {'before': ['<group>', '<v>##<v>', '<pack>'], 'after': []}}, '##': {'string': '100', 'type': 'int', 'number_string': ('100.0',), 'context': {'before': ['<group>'], 'after': ['<pack>', '<v>#<v>']}}}", <group> <v>##<v> capsule <v>#<v> ,solid,,,100.0,,10.0,pack_size,FUNGIKEM 100 CAPSULE (10'S),FUNGIKEM 100 CAPSULE (10'S),FCVN02,,FCVN02,2021-06-04 19:25:39,,,10.0,100.0,,,,,,,,
fungikem,,tablet,1,,"{'#': {'string': '7 s', 'type': 'measurement', 'number_string': (None, '7.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None, 'context': {'before': ['<group>', '<v>##<v>', '<pack>'], 'after': []}}, '##': {'string': '200', 'type': 'int', 'number_string': ('200.0',), 'context': {'before': ['<group>'], 'after': ['<pack>', '<v>#<v>']}}}", <group> <v>##<v> capsule <v>#<v> ,solid,,,200.0,,7.0,pack_size,FUNGIKEM 200 CAPSULE (7'S),FUNGIKEM 200 CAPSULE (7'S),FCVN12,,FCVN12,2021-06-04 19:25:39,,,7.0,200.0,,,,,,,,
t-heal,,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> capsule <v>#<v> ,solid,,,,,10.0,pack_size,T-HEAL CAPSULE (10'S),T-HEAL CAPSULE (10'S),FCVY03,,FCVY03,2021-06-04 19:25:39,,,10.0,,,,,,,,,
yees,d,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> d capsule <v>#<v> ,solid,,,,,10.0,pack_size,YEES-D CAPSULE (10'S),YEES-D CAPSULE (10'S),FCWI01,,FCWI01,2021-06-04 19:25:39,,,10.0,,,,,,,,,
dabiclot,p,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None, 'context': {'before': ['<group>', '<v>##<v>', '<pack>', '<attr>'], 'after': []}}, '##': {'string': '75', 'type': 'int', 'number_string': ('75.0',), 'context': {'before': ['<group>'], 'after': ['<pack>', '<attr>', '<v>#<v>']}}}", <group> <v>##<v> capsule p <v>#<v> ,solid,,,75.0,,10.0,pack_size,DABICLOT 75 CAPSULE (P) (10'S),DABICLOT 75 CAPSULE (P) (10'S),FCXE02,,FCXE02,2021-06-04 19:25:39,,,10.0,75.0,,,,,,,,
dabiclot,p,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None, 'context': {'before': ['<group>', '<v>##<v>', '<pack>', '<attr>'], 'after': []}}, '##': {'string': '110', 'type': 'int', 'number_string': ('110.0',), 'context': {'before': ['<group>'], 'after': ['<pack>', '<attr>', '<v>#<v>']}}}", <group> <v>##<v> capsule p <v>#<v> ,solid,,,110.0,,10.0,pack_size,DABICLOT 110 CAPSULE (P) (10'S),DABICLOT 110 CAPSULE (P) (10'S),FCXE12,,FCXE12,2021-06-04 19:25:39,,,10.0,110.0,,,,,,,,
dabiclot,p,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None, 'context': {'before': ['<group>', '<v>##<v>', '<pack>', '<attr>'], 'after': []}}, '##': {'string': '150', 'type': 'int', 'number_string': ('150.0',), 'context': {'before': ['<group>'], 'after': ['<pack>', '<attr>', '<v>#<v>']}}}", <group> <v>##<v> capsule p <v>#<v> ,solid,,,150.0,,10.0,pack_size,DABICLOT 150 CAPSULE (P) (10'S),DABICLOT 150 CAPSULE (P) (10'S),FCXE22,,FCXE22,2021-06-04 19:25:39,,,10.0,150.0,,,,,,,,
